SchoolName,Borough,ZipCode,LastInspection,ViolationDescription
FLATBUSH S.D.A. SCHOOL,Brooklyn,11203,01/13/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
FLIK INTERNATIONAL CORP.,Manhattan,10010,11/10/2022,Evidence of mice or live mice in establishment's food or non-food areas.
FLIK INTERNATIONAL CORP.,Manhattan,10010,11/10/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"FRANKLIN DELANO ROOSEVELT HIGH SCHOOL, FRANKLIN DELANO ROOSEVELT YABC",Brooklyn,11204,12/14/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"FRANKLIN K. LANE CAMPUS YABC, P2G AT FRANKLIN K LANE, MULTICULTURAL HIGH SCH, ACADEMY OF INNOVATIVE",Brooklyn,11208,10/21/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL, KNOWLEDGE AND POWER PREPARATORY ACADEMY VI, ACADEMY OF ME",Queens,11691,03/06/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL, KNOWLEDGE AND POWER PREPARATORY ACADEMY VI, ACADEMY OF ME",Queens,11691,03/06/2023,Evidence of mice or live mice in establishment's food or non-food areas.
GARDEN SCHOOL,Queens,11372,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
GARDEN SCHOOL,Queens,11372,03/23/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
GARDEN SCHOOL,Queens,11372,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
GED - P2G - YOUTH BUILD-QUEENS,Queens,11367,01/09/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
GED PLUS - CITYWIDE,Brooklyn,11207,12/15/2022,Evidence of mice or live mice in establishment's food or non-food areas.
GED PLUS - CITYWIDE,Brooklyn,11208,12/12/2022,Evidence of mice or live mice in establishment's food or non-food areas.
GEORGE JACKSON ACADEMY,Manhattan,10009,01/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
GERER YESHIVA/MESIVTA BAIS YISROEL,Brooklyn,11204,01/11/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK, EAST SIDE COMMUNITY SCHOOL",Manhattan,10009,10/17/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
GOOD SHEPHERD SCHOOL,Manhattan,10034,10/26/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
GOOD SHEPHERD SCHOOL,Manhattan,10034,10/26/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"GOTHAM TECH HIGH SCHOOL, NEWCOMERS HIGH SCHOOL",Queens,11101,10/28/2022,Evidence of mice or live mice in establishment's food or non-food areas.
GREAT OAKS ELEMENTARY SCHOOL,Brooklyn,11203,01/26/2023,Evidence of mice or live mice in establishment's food or non-food areas.
GREAT OAKS ELEMENTARY SCHOOL,Brooklyn,11203,01/26/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
GREAT OAKS ELEMENTARY SCHOOL,Brooklyn,11203,01/26/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
GREEK AMERICAN INSTITUTE OF NEW YORK,Bronx,10461,12/07/2022,Evidence of mice or live mice in establishment's food or non-food areas.
HARLEM CHILDREN'S ZONE CHARTER SCHOOL,Manhattan,10035,12/13/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"HARVEST COLLEGIATE HIGH SCHOOL, P721M @ LEGACY HS",Manhattan,10011,02/16/2023,Evidence of mice or live mice in establishment's food or non-food areas.
HERBERT H. LEHMAN HIGH SCHOOL,Bronx,10461,12/02/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
HIGH SCHOOL OF ECONOMICS AND FINANCE,Manhattan,10006,03/06/2023,Evidence of mice or live mice in establishment's food or non-food areas.
I.S. 027 ANNING S. PRALL,Staten Island,10310,03/07/2023,Evidence of mice or live mice in establishment's food or non-food areas.
I.S. 027 ANNING S. PRALL,Staten Island,10310,03/07/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"I.S. 059 SPRINGFIELD GARDENS, SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS",Queens,11413,10/11/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"I.S. 061 WILLIAM A MORRIS, P373R AT R061, P025R AT R061",Staten Island,10301,11/21/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"I.S. 068 ISAAC BILDERSEE, EXPLORE EXCEL CHARTER SCHOOL - UPPER",Brooklyn,11236,01/20/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"I.S. 068 ISAAC BILDERSEE, EXPLORE EXCEL CHARTER SCHOOL - UPPER",Brooklyn,11236,01/20/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
I.S. 072 ROCCO LAURIE,Staten Island,10314,11/01/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"I.S. 096 SETH LOW, SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST",Brooklyn,11204,10/06/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"I.S. 096 SETH LOW, SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST",Brooklyn,11204,10/06/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
I.S. 141 THE STEINWAY,Queens,11105,02/28/2023,Evidence of mice or live mice in establishment's food or non-food areas.
I.S. 141 THE STEINWAY,Queens,11105,02/28/2023,Evidence of mice or live mice in establishment's food or non-food areas.
I.S. 145 BRONX,Bronx,10456,03/22/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"I.S. 204 OLIVER W. HOLMES, ENERGY TECH HIGH SCHOOL",Queens,11106,01/27/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"I.S. 204 OLIVER W. HOLMES, ENERGY TECH HIGH SCHOOL",Queens,11106,01/27/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
I.S. 226 QUEENS,Queens,11420,10/25/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"I.S. 227 LOUIS ARMSTRONG, P.S. Q811",Queens,11369,01/26/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"I.S. 227 LOUIS ARMSTRONG, P.S. Q811",Queens,11369,01/26/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"I.S. 227 LOUIS ARMSTRONG, P.S. Q811",Queens,11369,01/26/2023,Evidence of mice or live mice in establishment's food or non-food areas.
I.S. 230,Queens,11372,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
I.S. 230,Queens,11372,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"I.S. 30 MARY WHITE OVINGTON, P231K @ PS/IS 30 MARY WHITE OVINGTON",Brooklyn,11209,03/03/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"I.S. 303 HERBERT S. EISENBERG, P771K @ IS 303 HERBERT S. EISENBERG, RACHEL CARSON SCHOOL FOR COASTAL",Brooklyn,11224,03/16/2023,Evidence of mice or live mice in establishment's food or non-food areas.
I.S. 340,Brooklyn,11238,02/08/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"I.S. 347 SCHOOL OF HUMANITIES, I.S. 349 MATH, SCIENCE & TECH.",Brooklyn,11221,09/15/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
I.S. 98 BAY ACADEMY,Brooklyn,11235,11/04/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
I.S. 98 BAY ACADEMY,Brooklyn,11235,11/04/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"ICAHN CHARTER SCHOOL 5, ICAHN CHARTER SCHOOL 4, ICAHN CHARTER SCHOOL 3",Bronx,10461,12/15/2022,Evidence of mice or live mice in establishment's food or non-food areas.
IMAGINE ME LEADERSHIP CHARTER SCHOOL,Brooklyn,11207,03/01/2023,Evidence of mice or live mice in establishment's food or non-food areas.
IMMACULATE CONCEPTION SCHOOL,Bronx,10467,11/23/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368), P.S. X721 - STEPHEN MCSWEENEY SCHOOL",Bronx,10463,02/28/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"INDEPENDENCE HIGH SCHOOL, LYFE [BABIES], HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",Manhattan,10019,01/24/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"INDEPENDENCE HIGH SCHOOL, LYFE [BABIES], HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",Manhattan,10019,01/24/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"INSTITUTE FOR ENVIRONMENTAL LEARNING - P.S. 291, P.S. X015",Bronx,10453,02/07/2023,Evidence of mice or live mice in establishment's food or non-food areas.
INTERNATIONAL ART AND BUSINESS HS,Brooklyn,11203,03/22/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"IT TAKES A VILLAGE ACADEMY, CULTURAL ACADEMY FOR THE ARTS AND SCIENCES, KURT HAHN EXPEDITIONARY LEAR",Brooklyn,11203,01/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
IVAN LAFAYETTE EARLY CHILDHOOD SCHOOL OF THE ARTS (THE),Queens,11369,10/31/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"J.H.S. 057 WHITELAW REID, THE BROOKLYN ACADEMY OF GLOBAL FINAN",Brooklyn,11221,09/15/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
J.H.S. 067 LOUIS PASTEUR,Queens,11362,02/09/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
